iter	Passed	Remaining
573	9565	7099
574	9577	7078
575	9591	7060
576	9605	7041
577	9619	7023
578	9633	7004
579	9647	6986
580	9660	6967
581	9671	6946
582	9684	6926
583	9697	6907
584	9709	6887
585	9722	6868
586	9735	6849
587	9748	6830
588	9762	6811
589	9773	6791
590	9786	6772
591	9799	6753
592	9813	6735
593	9826	6716
594	9837	6695
595	9849	6676
596	9862	6657
597	9875	6638
598	9887	6619
599	9900	6600
600	9913	6581
601	9926	6562
602	9942	6545
603	9953	6526
604	9966	6506
605	9978	6487
606	9991	6468
607	10001	6448
608	10015	6430
609	10031	6413
610	10043	6394
611	10057	6376
612	10068	6356
613	10080	6337
614	10093	6318
615	10106	6299
616	10116	6280
617	10132	6262
618	10145	6244
619	10158	6225
620	10170	6207
621	10181	6187
622	10193	6168
623	10206	6150
624	10219	6131
625	10230	6112
626	10245	6094
627	10261	6078
628	10278	6062
629	10293	6045
630	10306	6027
631	10319	6008
632	10330	5989
633	10344	5971
634	10358	5953
635	10370	5935
636	10383	5916
637	10394	5897
638	10406	5879
639	10419	5861
640	10432	5842
641	10443	5823
642	10457	5805
643	10470	5788
644	10486	5771
645	10502	5755
646	10517	5738
647	10528	5719
648	10542	5701
649	10556	5684
650	10569	5666
651	10582	5648
652	10593	5629
653	10605	5610
654	10617	5592
655	10631	5575
656	10643	5556
657	10656	5538
658	10668	5520
659	10682	5503
660	10696	5486
661	10708	5467
662	10720	5448
663	10732	5430
664	10745	5413
665	10756	5394
666	10770	5377
667	10783	5359
668	10796	5341
669	10809	5324
670	10820	5305
671	10834	5288
672	10846	5270
673	10860	5252
674	10871	5234
675	10883	5216
676	10896	5198
677	10910	5181
678	10925	5164
679	10937	5146
680	10948	5128
681	10961	5111
682	10975	5093
683	10986	5075
684	10998	5057
685	11011	5040
686	11024	5022
687	11034	5004
688	11047	4986
689	11060	4969
690	11076	4953
691	11093	4937
692	11106	4920
693	11118	4902
694	11130	4884
695	11142	4866
696	11155	4849
697	11168	4832
698	11179	4814
699	11193	4797
700	11206	4779
701	11219	4762
702	11230	4744
703	11244	4727
704	11257	4710
705	11271	4693
706	11284	4676
707	11296	4658
708	11309	4641
709	11322	4624
710	11335	4607
711	11345	4589
712	11357	4571
713	11370	4554
714	11383	4537
715	11394	4519
716	11408	4502
717	11422	4486
718	11435	4469
719	11447	4451
720	11458	4434
721	11471	4416
722	11486	4400
723	11500	4384
724	11513	4367
725	11523	4349
726	11536	4332
727	11550	4315
728	11562	4298
729	11573	4280
730	11585	4263
731	11598	4246
732	11610	4229
733	11623	4212
734	11636	4195
735	11649	4178
736	11662	4161
737	11673	4144
738	11685	4127
739	11698	4110
740	11712	4093
741	11724	4076
742	11736	4059
743	11750	4043
744	11763	4026
745	11777	4010
746	11788	3992
747	11800	3975
748	11813	3959
749	11828	3942
750	11842	3926
751	11853	3908
752	11865	3892
753	11878	3875
754	11891	3858
755	11908	3843
756	11919	3826
757	11932	3809
758	11945	3792
759	11959	3776
760	11971	3759
761	11982	3742
762	11994	3725
763	12008	3709
764	12020	3692
765	12030	3675
766	12046	3659
767	12060	3643
768	12075	3627
769	12092	3611
770	12106	3595
771	12119	3579
772	12130	3562
773	12145	3546
774	12158	3529
775	12171	3513
776	12182	3496
777	12194	3479
778	12206	3462
779	12218	3446
780	12229	3429
781	12242	3413
782	12255	3396
783	12269	3380
784	12280	3363
785	12292	3346
786	12307	3330
787	12319	3314
788	12333	3298
789	12343	3281
790	12358	3265
791	12371	3249
792	12385	3232
793	12397	3216
794	12408	3199
795	12420	3183
796	12433	3166
797	12445	3150
798	12457	3133
799	12471	3117
800	12484	3101
801	12496	3085
802	12507	3068
803	12520	3052
804	12533	3036
805	12547	3020
806	12558	3003
807	12571	2987
808	12585	2971
809	12601	2955
810	12617	2940
811	12631	2924
812	12644	2908
813	12655	2891
814	12669	2875
815	12682	2859
816	12695	2843
817	12709	2827
818	12721	2811
819	12734	2795
820	12747	2779
821	12760	2763
822	12772	2746
823	12783	2730
824	12796	2714
825	12809	2698
826	12819	2681
827	12832	2665
828	12846	2649
829	12861	2634
830	12875	2618
831	12889	2602
832	12901	2586
833	12914	2570
834	12927	2554
